90194313216,LITERAL,1,,,,1,__builtin.str,1,0,11,1,,ANY
90194313217,LITERAL,2,,,json,1,__builtin.str,1,0,11,2,,ANY
90194313218,LITERAL,1,,,,1,__builtin.str,2,12,21,1,,ANY
90194313219,LITERAL,2,,,os,1,__builtin.str,2,12,21,2,,ANY
90194313220,LITERAL,1,,,,1,__builtin.str,3,22,31,1,,ANY
90194313221,LITERAL,2,,,re,1,__builtin.str,3,22,31,2,,ANY
90194313222,LITERAL,1,,,,1,__builtin.str,4,32,45,1,,ANY
90194313223,LITERAL,2,,,random,1,__builtin.str,4,32,45,2,,ANY
90194313224,LITERAL,1,,,,1,__builtin.str,5,46,61,1,,ANY
90194313225,LITERAL,2,,,datetime,1,__builtin.str,5,46,61,2,,ANY
90194313226,LITERAL,1,,,,1,__builtin.str,6,62,76,1,,ANY
90194313227,LITERAL,2,,,hashlib,1,__builtin.str,6,62,76,2,,ANY
90194313228,LITERAL,1,,,,1,__builtin.str,7,77,87,1,,ANY
90194313229,LITERAL,2,,,sys,1,__builtin.str,7,77,87,2,,ANY
90194313230,LITERAL,1,,,'win',28,__builtin.str,10,216,220,2,,ANY
90194313231,LITERAL,1,,,,5,__builtin.str,11,228,237,1,,ANY
90194313232,LITERAL,2,,,io,5,__builtin.str,11,228,237,2,,ANY
90194313233,LITERAL,-1,,encoding,'utf-8',63,__builtin.str,12,300,306,3,,ANY
90194313234,LITERAL,-1,,encoding,'utf-8',63,__builtin.str,13,371,377,3,,ANY
90194313235,LITERAL,2,,,"""users.json""",26,__builtin.str,16,486,497,2,,__builtin.str
90194313236,LITERAL,2,,,"""vaccination_centers.json""",26,__builtin.str,17,524,549,2,,__builtin.str
90194313237,LITERAL,2,,,"""reservations.json""",26,__builtin.str,18,576,594,2,,__builtin.str
90194313238,LITERAL,2,,,3,26,__builtin.int,19,621,622,2,,__builtin.int
90194313239,LITERAL,-1,,,"""""""Load a JSON file; return empty list if missing, empty, or invalid.""""""",5,__builtin.str,24,731,800,1,,ANY
90194313240,LITERAL,2,,,0,65,__builtin.int,25,868,869,2,,ANY
90194313241,LITERAL,2,,,"""r""",33,__builtin.str,27,916,918,2,,ANY
90194313242,LITERAL,-1,,,"""""""Save data to a JSON file.""""""",5,__builtin.str,34,1068,1096,1,,ANY
90194313243,LITERAL,-1,,indent,2,35,__builtin.int,36,1169,1170,4,,ANY
90194313244,LITERAL,2,,,"""w""",25,__builtin.str,35,1124,1126,2,,ANY
90194313245,LITERAL,-1,,,"""""""Create default centers file and users if they don't exist yet.""""""",5,__builtin.str,39,1194,1259,1,,ANY
90194313246,LITERAL,2,,,"""id""",14,__builtin.str,42,1345,1348,2,,ANY
90194313247,LITERAL,2,,,1,20,__builtin.int,42,1351,1352,2,,__builtin.int
90194313248,LITERAL,2,,,"""name""",23,__builtin.str,42,1354,1359,2,,ANY
90194313249,LITERAL,2,,,"""Center A""",31,__builtin.str,42,1362,1371,2,,__builtin.str
90194313250,LITERAL,2,,,"""address""",43,__builtin.str,42,1374,1382,2,,ANY
90194313251,LITERAL,2,,,"""123 Main Street, Cairo""",54,__builtin.str,42,1385,1408,2,,__builtin.str
90194313252,LITERAL,2,,,"""vaccines""",85,__builtin.str,42,1416,1425,2,,ANY
90194313253,LITERAL,1,,,"""Pfizer""",98,__builtin.str,42,1429,1436,1,,ANY
90194313254,LITERAL,2,,,"""Moderna""",108,__builtin.str,42,1439,1447,2,,ANY
90194313255,LITERAL,2,,,"""id""",14,__builtin.str,43,1465,1468,2,,ANY
90194313256,LITERAL,2,,,2,20,__builtin.int,43,1471,1472,2,,__builtin.int
90194313257,LITERAL,2,,,"""name""",23,__builtin.str,43,1474,1479,2,,ANY
90194313258,LITERAL,2,,,"""Center B""",31,__builtin.str,43,1482,1491,2,,__builtin.str
90194313259,LITERAL,2,,,"""address""",43,__builtin.str,43,1494,1502,2,,ANY
90194313260,LITERAL,2,,,"""456 Second Avenue, Alexandria""",54,__builtin.str,43,1505,1535,2,,__builtin.str
90194313261,LITERAL,2,,,"""vaccines""",86,__builtin.str,43,1537,1546,2,,ANY
90194313262,LITERAL,1,,,"""AstraZeneca""",99,__builtin.str,43,1550,1562,1,,ANY
90194313263,LITERAL,2,,,"""Johnson & Johnson""",114,__builtin.str,43,1565,1583,2,,ANY
90194313264,LITERAL,1,,,"""is_admin""",22,__builtin.str,48,1698,1707,2,,ANY
