25769803776,BLOCK,-1,,,,1,,1,0,15980,1,,ANY
25769803777,BLOCK,-1,,,"tmp0 = sys.platform
sys.platform.startswith('win')",4,,10,192,222,1,,ANY
25769803778,BLOCK,-1,,,"io = import io
sys.stdout = io.TextIOWrapper(sys.stdout.buffer, encoding = 'utf-8')
sys.stderr = io.TextIOWrapper(sys.stderr.buffer, encoding = 'utf-8')",1,,10,189,461,2,,ANY
25769803779,BLOCK,-1,,,,1,,23,706,1037,1,,ANY
25769803780,BLOCK,1,,,"tmp1 = os.path
os.path.exists(filepath)",8,,25,811,835,1,,ANY
25769803781,BLOCK,1,,,"tmp2 = os.path
os.path.getsize(filepath)",37,,25,840,865,1,,ANY
25769803782,BLOCK,-1,,,"f = value_tmp6
return json.load(f)",18,,27,901,920,1,,ANY
25769803783,BLOCK,-1,,,__exit__(),18,,27,901,920,1,,ANY
25769803784,BLOCK,-1,,,"manager_tmp3 = open(filepath, ""r"")
enter_tmp4 = manager_tmp3.__enter__
exit_tmp5 = manager_tmp3.__exit__
value_tmp6 = enter_tmp4()
try: ...",18,,27,901,920,1,,ANY
25769803785,BLOCK,-1,,,return [],9,,29,971,1026,1,,ANY
25769803786,BLOCK,-1,,,"manager_tmp3 = open(filepath, ""r"")
enter_tmp4 = manager_tmp3.__enter__
exit_tmp5 = manager_tmp3.__exit__
value_tmp6 = enter_tmp4()
try: ...",9,,26,879,1026,1,,ANY
25769803787,BLOCK,-1,,,return [],9,,26,879,1026,1,,ANY
25769803788,BLOCK,-1,,,try: ...,5,,25,808,1026,2,,ANY
25769803789,BLOCK,-1,,,,1,,33,1037,1173,1,,ANY
25769803790,BLOCK,-1,,,"f = value_tmp10
json.dump(data, f, indent = 2)",10,,35,1109,1128,1,,ANY
25769803791,BLOCK,-1,,,__exit__(),10,,35,1109,1128,1,,ANY
25769803792,BLOCK,-1,,,"manager_tmp7 = open(filepath, ""w"")
enter_tmp8 = manager_tmp7.__enter__
exit_tmp9 = manager_tmp7.__exit__
value_tmp10 = enter_tmp8()
try: ...",10,,35,1109,1128,2,,ANY
